gene_id	gene_label
OMIM:120650	CR2
OMIM:120700	C3
OMIM:120810	C4A
OMIM:120820	C4B
OMIM:120900	C5
OMIM:120920	CD46
OMIM:120940	C9
OMIM:120950	C8A
OMIM:120960	C8B
OMIM:120980	ITGAM
OMIM:121011	GJB2
OMIM:121013	GJA5
OMIM:121014	GJA1
OMIM:121015	GJA3
OMIM:121210	FEB1
OMIM:121360	CBFB
OMIM:121700	CHED1
OMIM:122460	HCVS
OMIM:122500	SERPINA6
OMIM:122550	CSCI
OMIM:122720	CYP2A6
OMIM:123101	MSX2
OMIM:123155	HDCPH1
OMIM:123270	CKBE
OMIM:123580	CRYAA
OMIM:123590	CRYAB
OMIM:123610	CRYBA1
OMIM:123620	CRYBB2
OMIM:123630	CRYBB3
OMIM:123631	CRYBA4
OMIM:123670	CRYGB
OMIM:123680	CRYGC
OMIM:123690	CRYGD
OMIM:123730	CRYGS
OMIM:123740	CRYM
OMIM:123810	CREB1
OMIM:123825	CNGA1
OMIM:123829	CDK4
OMIM:123841	PPIB
OMIM:123889	IL10RB
OMIM:123890	CTLA4
OMIM:123930	CYP2B6
OMIM:123940	KRT4
OMIM:123970	CYCS
OMIM:123980	CYC1
OMIM:124010	CYP3A4
OMIM:124015	POR
OMIM:124020	CYP2C19
OMIM:124030	CYP2D6
OMIM:124040	CYP2E1
OMIM:124050	DAO
OMIM:124080	CYP11B2
OMIM:124089	COX6B1
OMIM:124092	IL10
OMIM:125240	CD55
OMIM:125255	DCN
OMIM:125260	VDI
OMIM:125264	DEK
OMIM:125270	ALAD
OMIM:125480	MAFD1
OMIM:125485	DSPP
OMIM:125505	DNASE1
OMIM:125520	ACF
OMIM:125645	DSC2
OMIM:125647	DSP
OMIM:125660	DES
OMIM:125670	DSG1
OMIM:125671	DSG2
OMIM:125860	NQO1
OMIM:126060	DHFR
OMIM:126064	DHODH
OMIM:126065	CYP24A1
OMIM:126090	PCBD1
OMIM:126110	ARNT
OMIM:126141	DPP6
OMIM:126150	HBEGF
OMIM:126337	DDIT3
OMIM:126340	ERCC2
OMIM:126375	DNMT1
OMIM:126380	ERCC1
OMIM:126391	LIG1
OMIM:126420	TOP1
OMIM:126430	TOP2A
OMIM:126450	DRD2
OMIM:126451	DRD3
OMIM:126452	DRD4
OMIM:126453	DRD5
OMIM:126455	SLC6A3
OMIM:126650	SLC26A3
OMIM:126800	DURS1
OMIM:126900	DUPC1
OMIM:127500	DUH1
OMIM:127600	DKBI
OMIM:128239	DAG1
OMIM:128260	SNRPE
OMIM:128700	PAFC
OMIM:129010	EGR2
OMIM:129150	E11S
OMIM:129190	NT5E
OMIM:129900	EEC1
OMIM:130080	EDS8
OMIM:130130	ELANE
OMIM:130160	ELN
OMIM:130180	EEGV1
OMIM:130410	ETFB
OMIM:130500	EPB41
OMIM:130610	EEF2
OMIM:130620	RPS14
OMIM:131195	ENG
OMIM:131200	ENDO1
OMIM:131210	SELE
OMIM:131222	TYMP
OMIM:131230	ANXA5
OMIM:131240	EDN1
OMIM:131242	EDN3
OMIM:131243	EDNRA
OMIM:131244	EDNRB
OMIM:131310	EN2
OMIM:131320	GATA3
OMIM:131340	PDYN
OMIM:131370	ENO3
OMIM:131399	EPX
OMIM:131400	EOS
OMIM:131530	EGF
OMIM:131550	EGFR
OMIM:132100	PPR1
OMIM:132810	EPHX1
OMIM:132811	EPHX2
OMIM:132850	EBVS1
OMIM:133090	STOM
OMIM:133170	EPO
OMIM:133171	EPOR
OMIM:133190	SCA34
OMIM:133430	ESR1
OMIM:133440	EIF4E
OMIM:133450	EWSR1
OMIM:133510	ERCC3
OMIM:133520	ERCC4
OMIM:133530	ERCC5
OMIM:133550	SLC1A1
OMIM:134350	CFD
OMIM:134370	CFH
OMIM:134371	CFHR1
OMIM:134570	F13A1
OMIM:134580	F13B
OMIM:134600	FRTS1
OMIM:134637	FAS
OMIM:134638	FASLG
OMIM:134640	FABP2
OMIM:134660	GSTP1
OMIM:134720	FECB
OMIM:134770	FTH1
OMIM:134790	FTL
OMIM:134797	FBN1
OMIM:134820	FGA
OMIM:134830	FGB
OMIM:134850	FGG
OMIM:134934	FGFR3
OMIM:134935	FGFR4
OMIM:135400	HTGH
OMIM:135500	ZLS
OMIM:135600	FN1
OMIM:135610	FNL2
OMIM:135750	TMIP
OMIM:135820	FBLN1
OMIM:135900	CSS
OMIM:135940	FLG
OMIM:136132	FMO3
OMIM:136350	FGFR1
OMIM:136351	FLT3
OMIM:136352	FLT4
OMIM:136430	FOLR1
OMIM:136435	FSHR
OMIM:136440	KDSR
OMIM:136530	FSHB
OMIM:136533	FOXO1
OMIM:136550	MCDR1
OMIM:136570	DEL16p12.1
OMIM:136836	FUT6
OMIM:136850	FH
OMIM:137060	B4GALT1
OMIM:137070	FUS
OMIM:137100	IGAD1
OMIM:137140	GABRA2
OMIM:137150	ABAT
OMIM:137160	GABRA1
OMIM:137163	GABRD
OMIM:137164	GABRG2
OMIM:137167	GGCX
OMIM:137181	GGT2
OMIM:137192	GABRB3
OMIM:137241	GIPR
OMIM:137290	TACSTD2
OMIM:137295	GATA2
OMIM:137350	GSN
OMIM:137580	GTS
OMIM:137780	GFAP
OMIM:137950	GFND1
OMIM:137960	MPV17
OMIM:138030	GCG
OMIM:138033	GCGR
OMIM:138040	NR3C1
OMIM:138060	GRLL1
OMIM:138079	GCK
OMIM:138090	H6PD
OMIM:138110	G6PDL
OMIM:138130	GLUD1
OMIM:138140	SLC2A1
OMIM:138160	SLC2A2
OMIM:138180	GOT1
OMIM:138190	SLC2A4
OMIM:138200	GPT
OMIM:138244	GRIK2
OMIM:138248	GRIA1
OMIM:138249	GRIN1
OMIM:138250	ALDH18A1
OMIM:138252	GRIN2B
OMIM:138253	GRIN2A
OMIM:138290	GLUL
OMIM:138292	GFPT1
OMIM:138300	GSR
OMIM:138320	GPX1
OMIM:138420	GPD1
OMIM:138430	GPD2
OMIM:138470	CFB
OMIM:138491	GLRA1
OMIM:138492	GLRB
OMIM:138570	GYS1
OMIM:138571	GYS2
OMIM:138600	ORM1
OMIM:138680	AHSG
OMIM:138700	APOH
OMIM:138720	GP1BB
OMIM:138750	GLO1
OMIM:138760	HAGH
OMIM:138850	GNRHR
OMIM:138945	GRN
OMIM:138971	CSF3R
OMIM:138981	CSF2RB
OMIM:139130	GNB3
OMIM:139150	RASA1
OMIM:139185	GAS1
OMIM:139190	GHRH
OMIM:139191	GHRHR
OMIM:139200	GC
OMIM:139250	GH1
OMIM:139265	GMPR
OMIM:139280	GUK2
OMIM:139311	GNAO1
OMIM:139312	GNAL
OMIM:139313	GNA11
OMIM:139320	GNAS
OMIM:139330	GNAT1
OMIM:139340	GNAT2
OMIM:139350	KRT1
OMIM:139360	GNAI2
OMIM:139370	GNAI3
OMIM:139450	HRM2
OMIM:139900	HSR
OMIM:140100	HP
OMIM:140300	HT
OMIM:141250	HMOX1
OMIM:141750	HBHR
OMIM:141800	HBA1
OMIM:141850	HBA2
OMIM:141900	HBB
OMIM:142000	HBD
OMIM:142200	HBG1
OMIM:142250	HBG2
OMIM:142335	HBFQTL5
OMIM:142340	DIH1
OMIM:142360	SERPIND1
OMIM:142409	HGF
OMIM:142410	HNF1A
OMIM:142445	NRG1
OMIM:142461	HSPG2
OMIM:142470	HBFQTL2
OMIM:142600	HK1
OMIM:142640	HRG
OMIM:142669	BHD
OMIM:142700	ACTD
OMIM:142702	HTN3
OMIM:142704	HDC
OMIM:142800	HLA-A
OMIM:142810	HARS
OMIM:142830	HLA-B
OMIM:142840	HLA-C
OMIM:142857	HLA-DRB1
OMIM:142858	HLA-DPB1
OMIM:142871	HLA-G
OMIM:142910	HMGCR
OMIM:142955	HOXA1
OMIM:142958	HOXA11
OMIM:142959	HOXA13
OMIM:142968	HOXB1
OMIM:142976	HOXC13
OMIM:142981	HOXD4
OMIM:142983	MSX1
OMIM:142984	HOXD10
OMIM:142989	HOXD13
OMIM:142992	HMX1
OMIM:142993	VSX2
OMIM:142994	MNX1
OMIM:143400	PUJO
OMIM:143450	HADHB
OMIM:143460	HTOR
OMIM:143850	OHDS
OMIM:144110	HHPP
OMIM:144120	IGHR
OMIM:145260	PHA2A
OMIM:145290	HRX
OMIM:145410	OGS2
OMIM:145505	ACSM3
OMIM:145701	ITC1
OMIM:145750	HTGS
OMIM:145981	HHC2
OMIM:146390	DEL18p
OMIM:146450	HYSP3
OMIM:146661	IL7R
OMIM:146690	IMPDH1
OMIM:146691	IMPDH2
OMIM:146738	INSL3
OMIM:146740	FCGR3A
OMIM:146760	FCGR1A
OMIM:146770	IGLL1
OMIM:146790	FCGR2A
OMIM:146820	IGAT
OMIM:146850	ISCW
OMIM:146880	HLA-DQA1
OMIM:146920	ADAR
OMIM:146929	CXCR1
OMIM:146933	IL10RA
OMIM:146990	IGHDY2
OMIM:147020	IGHM
OMIM:147061	IGES
OMIM:147080	IGLP1
OMIM:147090	IGLP2
OMIM:147110	IGHG2
OMIM:147138	MS4A2
OMIM:147141	TCF3
OMIM:147183	RBPJ
OMIM:147200	IGKC
OMIM:147245	CD79B
OMIM:147265	ITPR1
OMIM:147267	ITPR3
OMIM:147270	ITIH1
OMIM:147280	IGF2R
OMIM:147370	IGF1R
OMIM:147440	IGF1
OMIM:147450	SOD1
OMIM:147460	SOD2
OMIM:147470	IGF2
OMIM:147520	ITPA
OMIM:147545	IRS1
OMIM:147556	ITGA6
OMIM:147557	ITGB4
OMIM:147569	IFNGR2
OMIM:147570	IFNG
OMIM:147575	IRF1
OMIM:147620	IL6
OMIM:147650	IDH2
OMIM:147660	IFNA1
OMIM:147670	INSR
OMIM:147679	IL1RN
OMIM:147680	IL2
OMIM:147683	IL13
OMIM:147700	IDH1
OMIM:147720	IL1B
OMIM:147730	IL2RA
OMIM:147781	IL4R
OMIM:147791	JBS
OMIM:147796	JAK2
OMIM:147840	ICAM1
OMIM:147880	IL6R
OMIM:147910	KLK1
OMIM:148040	KRT5
OMIM:148041	KRT6A
OMIM:148042	KRT6B
OMIM:148043	KRT3
OMIM:148060	KRT8
OMIM:148065	KRT13
OMIM:148066	KRT14
OMIM:148067	KRT16
OMIM:148069	KRT17
OMIM:148070	KRT18
OMIM:148080	KRT10
OMIM:148370	KWE
OMIM:148760	KIF11
OMIM:149000	KTWS
OMIM:150000	LDHA
OMIM:150100	LDHB
OMIM:150200	CSH1
OMIM:150230	TRPS2
OMIM:150240	LAMB1
OMIM:150270	LAP
OMIM:150292	LAMC2
OMIM:150310	LAMB3
OMIM:150325	LAMB2
OMIM:150330	LMNA
OMIM:150340	LMNB1
OMIM:150341	LMNB2
OMIM:150370	RPSA
OMIM:150571	LGALS2
OMIM:151350	LARS
OMIM:151385	RUNX1
OMIM:151410	BCR
OMIM:151430	BCL2
OMIM:151440	LYL1
OMIM:151443	LIFR
OMIM:151450	LAG5
OMIM:151460	PTPRC
OMIM:151670	LIPC
OMIM:152200	LPA
OMIM:152390	ALOX5
OMIM:152424	Locus control region beta
OMIM:152424	LCRB
OMIM:152427	KCNH2
OMIM:152430	LGV1
OMIM:152445	LOR
OMIM:152760	GNRH1
OMIM:152780	LHB
OMIM:152790	LHCGR
OMIM:153245	LEF1
OMIM:153390	LCK
OMIM:153440	LTA
OMIM:153450	LYZ
OMIM:153454	PLOD1
OMIM:153455	LOX
OMIM:153456	LOXL1
OMIM:153600	WM1
OMIM:153620	MIF
OMIM:153622	MSR1
OMIM:153840	VMD1
OMIM:153880	MDDC
OMIM:154045	LIM2
OMIM:154050	MIP
OMIM:154230	DEL9p24.3
OMIM:154235	MAK
OMIM:154270	ME2
OMIM:154275	MHS2
OMIM:154276	MHS3
OMIM:154545	MBL2
OMIM:154550	MPI
OMIM:154870	MGP
OMIM:154950	MAX
OMIM:155540	MC3R
OMIM:155541	MC4R
OMIM:155555	MC1R
OMIM:155600	CMM
OMIM:155760	ACAN
OMIM:155900	MROS
OMIM:156100	MN1
OMIM:156200	DEL2q23.1
OMIM:156225	LAMA2
OMIM:156232	MMDK
OMIM:156240	MMS
OMIM:156490	NME1
OMIM:156540	MTAP
OMIM:156570	MTR
OMIM:156600	MCOR
OMIM:156845	MITF
OMIM:156850	MCOPCT1
OMIM:157140	MAPT
OMIM:157145	MSMB
OMIM:157147	MTTP
OMIM:157300	MGR1
OMIM:157655	NDUFS1
OMIM:157660	RMRP
OMIM:157700	MMVP1
OMIM:157900	MBS
OMIM:157960	MLVI2
OMIM:158050	MRBC
OMIM:158105	CCL2
OMIM:158170	DEL9p
OMIM:158340	MUC1
OMIM:158375	MUC7
OMIM:158378	SLC20A2
OMIM:158900	FSHD1
OMIM:159350	MCC
OMIM:159440	MPZ
OMIM:159465	MOG
OMIM:159530	MPL
OMIM:159555	KMT2A
OMIM:159595	TAM
OMIM:159991	MYF6
OMIM:160700	MYP2
OMIM:160710	MYH6
OMIM:160720	MYH3
OMIM:160740	MYH2
OMIM:160741	MYH8
OMIM:160745	MYH11
OMIM:160760	MYH7
OMIM:160775	MYH9
OMIM:160777	MYO5A
OMIM:160781	MYL2
OMIM:160790	MYL3
OMIM:160794	MYBPC1
OMIM:160998	NQO2
OMIM:161015	NDUFV1
OMIM:161550	NPCA2
OMIM:161561	IL12B
OMIM:161650	NEB
OMIM:161900	RFH1
OMIM:161950	IGAN1
OMIM:162030	NGF
OMIM:162040	NGFG
OMIM:162080	NRL
OMIM:162150	PCSK1
OMIM:162230	NEFH
OMIM:162280	NEFL
OMIM:162330	TAC3
OMIM:162332	TACR3
OMIM:162640	NPY
OMIM:162643	CXCR4
OMIM:162662	NTF4
OMIM:162820	NM
OMIM:163000	CMAL
OMIM:163729	NOS3
OMIM:163730	NOS2
OMIM:163731	NOS1
OMIM:163890	SNCA
OMIM:163970	SLC6A2
OMIM:164005	NFIX
OMIM:164008	NFKBIA
OMIM:164009	NUMA1
OMIM:164010	CHMP1A
OMIM:164015	MATR3
OMIM:164017	HNRNPA1
OMIM:164040	NPM1
OMIM:164050	PNP
OMIM:164100	NYS2
OMIM:164160	LEP
OMIM:164210	HFM
OMIM:164350	OAS1
OMIM:164360	ATP5A1
OMIM:164690	ABL2
OMIM:164730	AKT1
OMIM:164731	AKT2
OMIM:164750	OPHLC
OMIM:164757	BRAF
OMIM:164760	RAF1
OMIM:164761	RET
OMIM:164770	CSF1R
OMIM:164780	SKI
OMIM:164785	MDM2
OMIM:164790	NRAS
OMIM:164820	WNT1
OMIM:164840	MYCN
OMIM:164860	MET
OMIM:164870	ERBB2
OMIM:164874	FOXG1
OMIM:164920	KIT
OMIM:164950	FGF3
OMIM:164953	LPSA
OMIM:164975	WNT5A
OMIM:165215	MECOM
OMIM:165230	GLI2
OMIM:165240	GLI3
OMIM:165320	LCO
OMIM:165330	WNT3
OMIM:165360	CBL
OMIM:165640	ODC1
OMIM:166750	OTDD
OMIM:166760	OMS
OMIM:166800	OTSC1
OMIM:167250	PDB
OMIM:167409	PAX2
OMIM:167410	PAX7
OMIM:167413	PAX4
OMIM:167414	PAX5
OMIM:167415	PAX8
OMIM:167416	PAX9
OMIM:167420	PRRX1
OMIM:167790	SPINK1
OMIM:167870	PAND1
OMIM:167959	HPV18I1
OMIM:167960	HPV18I2
OMIM:168360	ELAVL4
OMIM:168450	PTH
OMIM:168461	CCND1
OMIM:168468	PTH1R
OMIM:168470	PTHLH
OMIM:168710	PCS
OMIM:168820	PON1
OMIM:168840	PRB3
OMIM:168860	PTLAH
OMIM:169710	PGA3
OMIM:170260	TAP1
OMIM:170261	TAP2
OMIM:170280	PRF1
OMIM:170290	PLIN1
OMIM:170710	PRPH
OMIM:170993	PEX2
OMIM:170995	ABCD3
OMIM:170998	PPARA
OMIM:171050	ABCB1
OMIM:171060	ABCB4
OMIM:171190	PNMT
OMIM:171500	ACP1
OMIM:171640	ACP5
OMIM:171650	ACP2
OMIM:171720	ALPQTL1
OMIM:171760	ALPL
OMIM:171800	ALPP
OMIM:171833	PIK3R1
OMIM:171834	PIK3CA
OMIM:171860	PFKL
OMIM:171900	PGM1
OMIM:172400	GPI
OMIM:172405	PLN
OMIM:172411	PLA2G2A
OMIM:172425	PLTP
OMIM:172430	ENO1
OMIM:172460	MTHFD1
OMIM:172471	PHKG2
OMIM:172480	PSPH
OMIM:172490	PHKB
OMIM:172860	SERPINF1
OMIM:173110	POU1F1
OMIM:173321	SERPINB6
OMIM:173325	JUP
OMIM:173335	ENPP1
OMIM:173350	PLG
OMIM:173360	SERPINE1
OMIM:173370	PLAT
OMIM:173410	PDGFRB
OMIM:173445	PECAM1
OMIM:173470	ITGB3
OMIM:173490	PDGFRA
OMIM:173510	CD36
OMIM:173515	GP9
OMIM:173610	SELP
OMIM:173870	PARP1
OMIM:173880	PIGR
OMIM:173910	PKD2
OMIM:174761	POLD1
OMIM:174762	POLE
OMIM:174763	POLG
OMIM:175850	POROK2
OMIM:176260	KCNA1
OMIM:176261	KCNE1
OMIM:176264	KCNC3
OMIM:176267	KCNA5
OMIM:176300	TTR
OMIM:176310	PBX1
OMIM:176610	PFN1
OMIM:176640	PRNP
OMIM:176705	PHB
OMIM:176730	INS
OMIM:176780	PVOP1
OMIM:176797	ZBTB16
OMIM:176801	PSAP
OMIM:176804	PTGER2
OMIM:176830	POMC
OMIM:176872	MAP2K1
OMIM:176876	PTPN11
OMIM:176880	PROS1
OMIM:176885	PTPN1
OMIM:176891	PTPRZ1
OMIM:176894	PRKG1
OMIM:176895	PROZ
OMIM:176930	F2
OMIM:176941	TYK2
OMIM:176943	FGFR2
OMIM:176946	EPHA2
OMIM:176947	ZAP70
OMIM:176960	PRKCA
OMIM:176980	PRKCG
OMIM:177046	PSMB8
OMIM:177060	PRKCSH
OMIM:177070	EPB42
OMIM:177075	MAF
OMIM:177400	BCHE
OMIM:178300	PTOS1
OMIM:178620	SFTPC
OMIM:178630	SFTPA1
OMIM:178640	SFTPB
OMIM:178642	SFTPA2
OMIM:179010	IHPS1
OMIM:179035	PYCR1
OMIM:179060	PDHB
OMIM:179095	UBE2B
OMIM:179410	RDX
OMIM:179450	RWS
OMIM:179502	RAP1GDS1
OMIM:179605	PRPH2
OMIM:179615	RAG1
OMIM:179616	RAG2
OMIM:179617	RAD51
OMIM:179755	PRCC
OMIM:179820	REN
OMIM:180020	RCD1
OMIM:180040	RD3
OMIM:180069	RPE65
OMIM:180071	PDE6A
OMIM:180072	PDE6B
OMIM:180073	PDE6G
OMIM:180090	RLBP1
OMIM:180240	RARA
OMIM:180250	RBP4
OMIM:180290	RBP3
OMIM:180297	RHAG
OMIM:180300	RA
OMIM:180380	RHO
OMIM:180381	GRK1
OMIM:180385	LMO2
OMIM:180430	RPIA
OMIM:180435	RNASEL
OMIM:180468	RPL35A
OMIM:180472	RPS17
OMIM:180721	ROM1
OMIM:180860	SRS
OMIM:180901	RYR1
OMIM:180902	RYR2
OMIM:180960	AHCY
OMIM:181031	SAG
OMIM:181460	SM1
OMIM:181510	SCZD1
OMIM:181590	STIL
OMIM:181600	TYS
OMIM:181800	IS1
OMIM:182100	FUT2
OMIM:182125	SPR
OMIM:182135	HTR2A
OMIM:182138	SLC6A4
OMIM:182269	SPRR2C
OMIM:182279	SNRPN
OMIM:182280	SCLC1
OMIM:182283	CCL3
OMIM:182309	SLC34A1
OMIM:182330	ATP1B1
OMIM:182340	ATP1A2
OMIM:182350	ATP1A3
OMIM:182380	SLC5A1
OMIM:182381	SLC5A2
OMIM:182389	SCN1A
OMIM:182390	SCN2A
OMIM:182455	SSTR5
OMIM:182500	SORD
OMIM:182530	SOS1
OMIM:182810	SPTAN1
OMIM:182860	SPTA1
OMIM:182870	SPTB
OMIM:182960	DHMN1
OMIM:183600	SHFM1
OMIM:183840	SPDA2
OMIM:184429	SOX2
OMIM:184450	STUT1
OMIM:184600	CSTA
OMIM:184700	PCOS1
OMIM:184745	KITLG
OMIM:184755	SCP2
OMIM:184757	NR5A1
OMIM:185100	STBMS1
OMIM:185250	MMP3
OMIM:185470	SDHB
OMIM:185490	SOD3
OMIM:185535	EPCAM
OMIM:185620	SURF1
OMIM:185900	SDTY1
OMIM:186357	SDC3
OMIM:186711	CD27
OMIM:186740	CD3G
OMIM:186780	CD247
OMIM:186790	CD3D
OMIM:186830	CD3E
OMIM:186845	CD81
OMIM:186855	TAL2
OMIM:186860	TCL4
OMIM:186880	TRAC
OMIM:186910	CD8A
OMIM:186921	LMO1
OMIM:186940	CD4
OMIM:186960	TCL1A
OMIM:186973	ITK
OMIM:187011	CCL5
OMIM:187040	TAL1
OMIM:187270	TERT
OMIM:187280	BN51T
OMIM:187290	H142T
OMIM:187320	TS13
OMIM:187330	TS546
OMIM:187395	TDGF1
OMIM:187680	TPMT
OMIM:188025	TCPT
OMIM:188040	THBD
OMIM:188061	THBS2
OMIM:188070	TBXA2R
OMIM:188250	TK2
OMIM:188380	TMPO
OMIM:188450	TG
OMIM:188540	TSHB
OMIM:188545	TRHR
OMIM:188826	TIMP3
OMIM:188830	PRKAR1A
OMIM:188840	TTN
OMIM:189800	PEE1
OMIM:189907	HNF1B
OMIM:189909	ZEB1
OMIM:189967	TEAD1
OMIM:189980	ABL1
OMIM:189990	MYB
OMIM:190000	TF
OMIM:190020	HRAS
OMIM:190040	PDGFB
OMIM:190070	KRAS
OMIM:190080	MYC
OMIM:190090	SRC
OMIM:190100	GSM1
OMIM:190120	THRA
OMIM:190151	ERBB3
OMIM:190160	THRB
OMIM:190180	TGFB1
OMIM:190181	TGFBR1
OMIM:190182	TGFBR2
OMIM:190195	TGM1
OMIM:190197	CNTN2
OMIM:190198	NOTCH1
OMIM:190220	TGFB2
OMIM:190230	TGFB3
